Value,Original Red,Original Green,Original Blue,Processed Red,Processed Green,Processed Blue
0,579,466,3385,27012,35318,72185
1,1364,1506,1644,301,520,1877
2,780,985,988,0,0,0
3,451,636,792,0,0,0
4,361,481,579,309,519,2066
5,331,454,531,0,0,0
6,310,372,428,0,0,0
7,261,360,402,385,527,2128
8,264,345,361,0,0,0
9,231,304,333,371,547,2014
10,247,317,307,0,0,0
11,228,269,292,0,0,0
12,248,239,263,381,607,1836
13,225,246,258,0,0,0
14,210,238,252,421,646,1671
15,207,182,246,0,0,0
16,214,198,262,0,0,0
17,207,199,242,407,694,1593
18,189,178,228,0,0,0
19,192,193,229,480,787,1495
20,203,185,255,0,0,0
21,170,211,227,0,0,0
22,137,156,223,509,864,1470
23,165,184,225,0,0,0
24,164,129,242,522,869,1462
25,153,183,266,0,0,0
26,150,142,248,534,859,1506
27,161,149,253,0,0,0
28,161,150,235,0,0,0
29,151,143,231,581,977,1559
30,131,141,270,0,0,0
31,155,144,250,567,1135,1436
32,123,164,241,0,0,0
33,135,152,218,635,1297,1442
34,151,152,281,0,0,0
35,137,142,272,692,1267,1593
36,130,143,273,0,0,0
37,128,152,251,654,1313,1594
38,146,135,238,0,0,0
39,143,156,225,696,1501,1534
40,112,146,253,0,0,0
41,111,153,243,0,0,0
42,134,158,256,799,1432,1460
43,154,128,247,0,0,0
44,149,147,255,908,1435,1557
45,135,155,233,0,0,0
46,136,169,269,937,1377,1513
47,128,171,298,0,0,0
48,138,133,334,939,1311,1387
49,144,130,417,0,0,0
50,137,137,322,907,1268,1315
51,113,163,323,0,0,0
52,129,142,318,1146,1382,1313
53,141,171,307,0,0,0
54,107,162,316,1320,1367,1161
55,124,165,334,1512,1515,1123
56,139,180,371,0,0,0
57,136,159,302,1450,1670,1056
58,128,158,319,0,0,0
59,123,182,294,1439,1809,961
60,114,209,321,0,0,0
61,125,190,325,1594,2002,905
62,111,168,355,0,0,0
63,116,172,276,1529,2168,817
64,127,180,314,0,0,0
65,127,218,295,1601,1859,864
66,126,200,303,0,0,0
67,127,198,287,1602,1716,704
68,135,197,291,1512,1959,729
69,113,220,327,0,0,0
70,136,252,313,1496,2153,628
71,139,261,380,0,0,0
72,153,238,365,1658,2114,639
73,150,237,380,0,0,0
74,159,234,435,1775,2369,554
75,163,261,402,1818,2385,535
76,169,267,431,0,0,0
77,158,343,459,2004,2314,455
78,198,388,457,0,0,0
79,203,302,421,2447,2251,396
80,193,289,474,0,0,0
81,175,324,542,2693,2383,379
82,200,278,581,2818,2216,389
83,167,276,555,0,0,0
84,205,300,566,2509,2193,348
85,208,300,596,0,0,0
86,212,351,579,2308,2112,332
87,231,313,534,2293,2239,368
88,254,312,620,0,0,0
89,234,341,629,2426,2306,325
90,281,397,642,0,0,0
91,326,365,625,2501,2322,344
92,375,322,614,2303,2386,356
93,358,351,504,0,0,0
94,281,365,519,2247,2159,338
95,237,417,528,0,0,0
96,310,392,545,2044,1924,325
97,278,363,567,2045,1746,368
98,319,394,593,0,0,0
99,267,368,617,1984,1413,317
100,307,318,581,0,0,0
101,258,380,765,1948,1226,332
102,274,389,736,1961,1104,361
103,269,341,699,0,0,0
104,288,337,953,2130,934,372
105,336,349,1080,0,0,0
106,344,322,1307,2039,830,360
107,314,320,1342,2197,837,355
108,322,287,1421,0,0,0
109,295,334,1478,2178,782,388
110,291,330,1322,0,0,0
111,289,364,1275,2132,763,378
112,287,391,1221,2098,739,337
113,249,372,1270,0,0,0
114,241,412,1236,1939,674,363
115,263,490,1291,1814,686,337
116,273,508,1519,0,0,0
117,221,515,1604,1659,716,360
118,215,536,1761,0,0,0
119,223,510,2015,1542,749,399
120,255,549,1946,1366,718,394
121,253,509,1957,0,0,0
122,274,512,1882,1219,737,397
123,301,520,1877,0,0,0
124,309,519,2066,1096,706,409
125,385,527,2128,1033,666,387
126,371,547,2014,0,0,0
127,381,607,1836,994,576,405
128,421,646,1671,0,0,0
129,407,694,1593,1014,637,424
130,480,787,1495,1009,590,419
131,509,864,1470,0,0,0
132,522,869,1462,902,574,402
133,534,859,1506,0,0,0
134,581,977,1559,895,599,391
135,567,1135,1436,855,615,433
136,635,1297,1442,0,0,0
137,692,1267,1593,884,603,464
138,654,1313,1594,0,0,0
139,696,1501,1534,827,591,421
140,799,1432,1460,0,0,0
141,908,1435,1557,842,596,467
142,937,1377,1513,837,577,459
143,939,1311,1387,0,0,0
144,907,1268,1315,764,645,526
145,1146,1382,1313,0,0,0
146,1320,1367,1161,756,644,509
147,1512,1515,1123,742,578,555
148,1450,1670,1056,0,0,0
149,1439,1809,961,786,624,486
150,1594,2002,905,0,0,0
151,1529,2168,817,833,575,495
152,1601,1859,864,0,0,0
153,1602,1716,704,803,644,570
154,1512,1959,729,837,735,597
155,1496,2153,628,0,0,0
156,1658,2114,639,921,710,629
157,1775,2369,554,0,0,0
158,1818,2385,535,965,714,669
159,2004,2314,455,0,0,0
160,2447,2251,396,1009,793,663
161,2693,2383,379,1133,797,717
162,2818,2216,389,0,0,0
163,2509,2193,348,1226,901,735
164,2308,2112,332,0,0,0
165,2293,2239,368,1354,991,784
166,2426,2306,325,0,0,0
167,2501,2322,344,1590,1267,853
168,2303,2386,356,0,0,0
169,2247,2159,338,1766,1346,949
170,2044,1924,325,0,0,0
171,2045,1746,368,1854,1560,1019
172,1984,1413,317,2062,1696,1042
173,1948,1226,332,0,0,0
174,1961,1104,361,1882,1610,1225
175,2130,934,372,0,0,0
176,2039,830,360,1656,1622,1301
177,2197,837,355,0,0,0
178,2178,782,388,1371,1712,1315
179,2132,763,378,0,0,0
180,2098,739,337,1187,1512,1459
181,1939,674,363,0,0,0
182,1814,686,337,994,1387,1474
183,1659,716,360,0,0,0
184,1542,749,399,976,1201,1519
185,1366,718,394,0,0,0
186,1219,737,397,906,951,1488
187,1096,706,409,781,796,1371
188,1033,666,387,0,0,0
189,994,576,405,722,684,1255
190,1014,637,424,0,0,0
191,1009,590,419,572,638,1021
192,902,574,402,0,0,0
193,895,599,391,584,592,837
194,855,615,433,0,0,0
195,884,603,464,427,569,699
196,827,591,421,0,0,0
197,842,596,467,406,531,600
198,837,577,459,0,0,0
199,764,645,526,383,481,509
200,756,644,509,0,0,0
201,742,578,555,344,517,417
202,786,624,486,0,0,0
203,833,575,495,260,524,389
204,803,644,570,0,0,0
205,837,735,597,200,486,284
206,921,710,629,0,0,0
207,965,714,669,172,408,253
208,1009,793,663,0,0,0
209,1133,797,717,143,318,215
210,1226,901,735,0,0,0
211,1354,991,784,131,296,169
212,1590,1267,853,0,0,0
213,1766,1346,949,75,216,159
214,1854,1560,1019,0,0,0
215,2062,1696,1042,45,152,117
216,1882,1610,1225,0,0,0
217,1656,1622,1301,35,94,84
218,1371,1712,1315,0,0,0
219,1187,1512,1459,0,0,0
220,994,1387,1474,28,107,75
221,976,1201,1519,0,0,0
222,906,951,1488,16,83,47
223,781,796,1371,0,0,0
224,722,684,1255,9,52,47
225,572,638,1021,0,0,0
226,584,592,837,5,23,38
227,427,569,699,0,0,0
228,406,531,600,3,17,23
229,383,481,509,0,0,0
230,344,517,417,2,11,15
231,260,524,389,0,0,0
232,200,486,284,0,11,5
233,172,408,253,0,0,0
234,143,318,215,0,0,0
235,131,296,169,2,0,5
236,75,216,159,0,0,0
237,45,152,117,0,2,1
238,35,94,84,0,0,0
239,28,107,75,1,0,0
240,16,83,47,0,0,0
241,9,52,47,0,0,0
242,5,23,38,0,0,0
243,3,17,23,0,0,0
244,2,11,15,0,0,0
245,0,11,5,0,0,0
246,2,0,5,0,0,0
247,0,2,1,0,0,0
248,1,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
