Value,Original Red,Original Green,Original Blue,Processed Red,Processed Green,Processed Blue
0,579,466,3385,26485,34297,68346
1,1364,1506,1644,0,0,0
2,780,985,988,253,509,1957
3,451,636,792,0,0,0
4,361,481,579,0,0,0
5,331,454,531,274,512,1882
6,310,372,428,0,0,0
7,261,360,402,301,520,1877
8,264,345,361,0,0,0
9,231,304,333,0,0,0
10,247,317,307,309,519,2066
11,228,269,292,0,0,0
12,248,239,263,385,527,2128
13,225,246,258,0,0,0
14,210,238,252,0,0,0
15,207,182,246,371,547,2014
16,214,198,262,0,0,0
17,207,199,242,381,607,1836
18,189,178,228,0,0,0
19,192,193,229,0,0,0
20,203,185,255,421,646,1671
21,170,211,227,0,0,0
22,137,156,223,407,694,1593
23,165,184,225,0,0,0
24,164,129,242,480,787,1495
25,153,183,266,0,0,0
26,150,142,248,0,0,0
27,161,149,253,509,864,1470
28,161,150,235,0,0,0
29,151,143,231,522,869,1462
30,131,141,270,0,0,0
31,155,144,250,534,859,1506
32,123,164,241,0,0,0
33,135,152,218,581,977,1559
34,151,152,281,0,0,0
35,137,142,272,567,1135,1436
36,130,143,273,0,0,0
37,128,152,251,635,1297,1442
38,146,135,238,0,0,0
39,143,156,225,0,0,0
40,112,146,253,692,1267,1593
41,111,153,243,0,0,0
42,134,158,256,654,1313,1594
43,154,128,247,0,0,0
44,149,147,255,696,1501,1534
45,135,155,233,0,0,0
46,136,169,269,799,1432,1460
47,128,171,298,0,0,0
48,138,133,334,908,1435,1557
49,144,130,417,0,0,0
50,137,137,322,937,1377,1513
51,113,163,323,0,0,0
52,129,142,318,939,1311,1387
53,141,171,307,907,1268,1315
54,107,162,316,0,0,0
55,124,165,334,1146,1382,1313
56,139,180,371,0,0,0
57,136,159,302,1320,1367,1161
58,128,158,319,0,0,0
59,123,182,294,1512,1515,1123
60,114,209,321,0,0,0
61,125,190,325,1450,1670,1056
62,111,168,355,0,0,0
63,116,172,276,1439,1809,961
64,127,180,314,0,0,0
65,127,218,295,1594,2002,905
66,126,200,303,1529,2168,817
67,127,198,287,0,0,0
68,135,197,291,1601,1859,864
69,113,220,327,0,0,0
70,136,252,313,1602,1716,704
71,139,261,380,0,0,0
72,153,238,365,1512,1959,729
73,150,237,380,1496,2153,628
74,159,234,435,0,0,0
75,163,261,402,1658,2114,639
76,169,267,431,0,0,0
77,158,343,459,1775,2369,554
78,198,388,457,0,0,0
79,203,302,421,1818,2385,535
80,193,289,474,2004,2314,455
81,175,324,542,0,0,0
82,200,278,581,2447,2251,396
83,167,276,555,0,0,0
84,205,300,566,2693,2383,379
85,208,300,596,2818,2216,389
86,212,351,579,0,0,0
87,231,313,534,2509,2193,348
88,254,312,620,0,0,0
89,234,341,629,2308,2112,332
90,281,397,642,2293,2239,368
91,326,365,625,0,0,0
92,375,322,614,2426,2306,325
93,358,351,504,2501,2322,344
94,281,365,519,0,0,0
95,237,417,528,2303,2386,356
96,310,392,545,0,0,0
97,278,363,567,2247,2159,338
98,319,394,593,2044,1924,325
99,267,368,617,0,0,0
100,307,318,581,2045,1746,368
101,258,380,765,0,0,0
102,274,389,736,1984,1413,317
103,269,341,699,1948,1226,332
104,288,337,953,0,0,0
105,336,349,1080,1961,1104,361
106,344,322,1307,2130,934,372
107,314,320,1342,0,0,0
108,322,287,1421,2039,830,360
109,295,334,1478,0,0,0
110,291,330,1322,2197,837,355
111,289,364,1275,2178,782,388
112,287,391,1221,0,0,0
113,249,372,1270,2132,763,378
114,241,412,1236,0,0,0
115,263,490,1291,2098,739,337
116,273,508,1519,1939,674,363
117,221,515,1604,0,0,0
118,215,536,1761,1814,686,337
119,223,510,2015,1659,716,360
120,255,549,1946,0,0,0
121,253,509,1957,1542,749,399
122,274,512,1882,0,0,0
123,301,520,1877,1366,718,394
124,309,519,2066,1219,737,397
125,385,527,2128,0,0,0
126,371,547,2014,1096,706,409
127,381,607,1836,0,0,0
128,421,646,1671,1033,666,387
129,407,694,1593,994,576,405
130,480,787,1495,0,0,0
131,509,864,1470,1014,637,424
132,522,869,1462,1009,590,419
133,534,859,1506,0,0,0
134,581,977,1559,902,574,402
135,567,1135,1436,0,0,0
136,635,1297,1442,895,599,391
137,692,1267,1593,855,615,433
138,654,1313,1594,0,0,0
139,696,1501,1534,884,603,464
140,799,1432,1460,0,0,0
141,908,1435,1557,827,591,421
142,937,1377,1513,842,596,467
143,939,1311,1387,0,0,0
144,907,1268,1315,837,577,459
145,1146,1382,1313,0,0,0
146,1320,1367,1161,764,645,526
147,1512,1515,1123,0,0,0
148,1450,1670,1056,756,644,509
149,1439,1809,961,742,578,555
150,1594,2002,905,0,0,0
151,1529,2168,817,786,624,486
152,1601,1859,864,0,0,0
153,1602,1716,704,833,575,495
154,1512,1959,729,803,644,570
155,1496,2153,628,0,0,0
156,1658,2114,639,837,735,597
157,1775,2369,554,0,0,0
158,1818,2385,535,921,710,629
159,2004,2314,455,0,0,0
160,2447,2251,396,965,714,669
161,2693,2383,379,1009,793,663
162,2818,2216,389,0,0,0
163,2509,2193,348,1133,797,717
164,2308,2112,332,0,0,0
165,2293,2239,368,1226,901,735
166,2426,2306,325,0,0,0
167,2501,2322,344,1354,991,784
168,2303,2386,356,1590,1267,853
169,2247,2159,338,0,0,0
170,2044,1924,325,1766,1346,949
171,2045,1746,368,0,0,0
172,1984,1413,317,1854,1560,1019
173,1948,1226,332,0,0,0
174,1961,1104,361,2062,1696,1042
175,2130,934,372,0,0,0
176,2039,830,360,1882,1610,1225
177,2197,837,355,0,0,0
178,2178,782,388,1656,1622,1301
179,2132,763,378,1371,1712,1315
180,2098,739,337,0,0,0
181,1939,674,363,1187,1512,1459
182,1814,686,337,0,0,0
183,1659,716,360,994,1387,1474
184,1542,749,399,0,0,0
185,1366,718,394,976,1201,1519
186,1219,737,397,0,0,0
187,1096,706,409,906,951,1488
188,1033,666,387,0,0,0
189,994,576,405,781,796,1371
190,1014,637,424,0,0,0
191,1009,590,419,722,684,1255
192,902,574,402,0,0,0
193,895,599,391,572,638,1021
194,855,615,433,584,592,837
195,884,603,464,0,0,0
196,827,591,421,427,569,699
197,842,596,467,0,0,0
198,837,577,459,406,531,600
199,764,645,526,0,0,0
200,756,644,509,383,481,509
201,742,578,555,0,0,0
202,786,624,486,344,517,417
203,833,575,495,0,0,0
204,803,644,570,260,524,389
205,837,735,597,0,0,0
206,921,710,629,200,486,284
207,965,714,669,0,0,0
208,1009,793,663,172,408,253
209,1133,797,717,0,0,0
210,1226,901,735,143,318,215
211,1354,991,784,0,0,0
212,1590,1267,853,131,296,169
213,1766,1346,949,0,0,0
214,1854,1560,1019,75,216,159
215,2062,1696,1042,0,0,0
216,1882,1610,1225,45,152,117
217,1656,1622,1301,0,0,0
218,1371,1712,1315,35,94,84
219,1187,1512,1459,0,0,0
220,994,1387,1474,28,107,75
221,976,1201,1519,0,0,0
222,906,951,1488,16,83,47
223,781,796,1371,0,0,0
224,722,684,1255,9,52,47
225,572,638,1021,0,0,0
226,584,592,837,0,0,0
227,427,569,699,5,23,38
228,406,531,600,0,0,0
229,383,481,509,3,17,23
230,344,517,417,0,0,0
231,260,524,389,2,11,15
232,200,486,284,0,0,0
233,172,408,253,0,11,5
234,143,318,215,0,0,0
235,131,296,169,2,0,5
236,75,216,159,0,0,0
237,45,152,117,0,2,1
238,35,94,84,0,0,0
239,28,107,75,1,0,0
240,16,83,47,0,0,0
241,9,52,47,0,0,0
242,5,23,38,0,0,0
243,3,17,23,0,0,0
244,2,11,15,0,0,0
245,0,11,5,0,0,0
246,2,0,5,0,0,0
247,0,2,1,0,0,0
248,1,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
